2024-12-18 16:46:00,029 - INFO - Server started on 127.0.0.1:5000
2024-12-18 16:46:05,370 - INFO - Received valid ACK 0 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,385 - INFO - Received valid ACK 0 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,400 - INFO - Received valid ACK 0 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,411 - INFO - Received valid ACK 0 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,420 - INFO - Received valid ACK 1 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,430 - INFO - Received valid ACK 1 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,438 - INFO - Received valid ACK 1 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,447 - INFO - Received valid ACK 1 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,455 - INFO - Received valid ACK 2 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,463 - INFO - Received valid ACK 2 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,470 - INFO - Received valid ACK 2 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,479 - INFO - Received valid ACK 2 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,487 - INFO - Received valid ACK 3 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,495 - INFO - Received valid ACK 3 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,503 - INFO - Received valid ACK 3 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,513 - INFO - Received valid ACK 3 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,521 - INFO - Received valid ACK 4 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,530 - INFO - Received valid ACK 4 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,538 - INFO - Received valid ACK 4 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,546 - INFO - Received valid ACK 4 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,554 - INFO - Received valid ACK 5 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,564 - INFO - Received valid ACK 5 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,575 - INFO - Received valid ACK 5 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,583 - INFO - Received valid ACK 5 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,592 - INFO - Received valid ACK 6 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,600 - INFO - Received valid ACK 6 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,608 - INFO - Received valid ACK 6 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,616 - INFO - Received valid ACK 6 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,624 - INFO - Received valid ACK 7 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,632 - INFO - Received valid ACK 7 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,640 - INFO - Received valid ACK 7 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,649 - INFO - Received valid ACK 7 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,656 - INFO - Received valid ACK 8 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,665 - INFO - Received valid ACK 8 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,673 - INFO - Received valid ACK 8 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,681 - INFO - Received valid ACK 8 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,689 - INFO - Received valid ACK 9 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,697 - INFO - Received valid ACK 9 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,705 - INFO - Received valid ACK 9 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,713 - INFO - Received valid ACK 9 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,721 - INFO - Received valid ACK 10 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,730 - INFO - Received valid ACK 10 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,737 - INFO - Received valid ACK 10 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,745 - INFO - Received valid ACK 10 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,753 - INFO - Received valid ACK 11 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,761 - INFO - Received valid ACK 11 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,769 - INFO - Received valid ACK 11 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,778 - INFO - Received valid ACK 11 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,785 - INFO - Received valid ACK 12 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,795 - INFO - Received valid ACK 12 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,802 - INFO - Received valid ACK 12 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,811 - INFO - Received valid ACK 12 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,819 - INFO - Received valid ACK 13 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,827 - INFO - Received valid ACK 13 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,834 - INFO - Received valid ACK 13 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,843 - INFO - Received valid ACK 13 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,850 - INFO - Received valid ACK 14 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,858 - INFO - Received valid ACK 14 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,866 - INFO - Received valid ACK 14 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,873 - INFO - Received valid ACK 14 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,881 - INFO - Received valid ACK 15 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,889 - INFO - Received valid ACK 15 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,897 - INFO - Received valid ACK 15 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,906 - INFO - Received valid ACK 15 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,913 - INFO - Received valid ACK 16 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,921 - INFO - Received valid ACK 16 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,929 - INFO - Received valid ACK 16 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,936 - INFO - Received valid ACK 16 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,944 - INFO - Received valid ACK 17 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,952 - INFO - Received valid ACK 17 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,960 - INFO - Received valid ACK 17 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,968 - INFO - Received valid ACK 17 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,976 - INFO - Received valid ACK 18 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,984 - INFO - Received valid ACK 18 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,994 - INFO - Received valid ACK 18 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,003 - INFO - Received valid ACK 18 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,014 - INFO - Received valid ACK 19 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,027 - INFO - Received valid ACK 19 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,037 - INFO - Received valid ACK 19 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,048 - INFO - Received valid ACK 19 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,059 - INFO - Received valid ACK 20 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,070 - INFO - Received valid ACK 20 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,082 - INFO - Received valid ACK 20 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,094 - INFO - Received valid ACK 20 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,107 - INFO - Received valid ACK 21 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,119 - INFO - Received valid ACK 21 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,128 - INFO - Received valid ACK 21 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,142 - INFO - Received valid ACK 21 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,154 - INFO - Received valid ACK 22 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,166 - INFO - Received valid ACK 22 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,177 - INFO - Received valid ACK 22 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,189 - INFO - Received valid ACK 22 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,200 - INFO - Received valid ACK 23 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,211 - INFO - Received valid ACK 23 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,223 - INFO - Received valid ACK 23 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,235 - INFO - Received valid ACK 23 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,244 - INFO - Received valid ACK 24 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,254 - INFO - Received valid ACK 24 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,263 - INFO - Received valid ACK 24 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,271 - INFO - Received valid ACK 24 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,279 - INFO - Received valid ACK 25 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,287 - INFO - Received valid ACK 25 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,295 - INFO - Received valid ACK 25 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,303 - INFO - Received valid ACK 25 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,311 - INFO - Received valid ACK 26 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,319 - INFO - Received valid ACK 26 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,327 - INFO - Received valid ACK 26 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,335 - INFO - Received valid ACK 26 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,343 - INFO - Received valid ACK 27 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,353 - INFO - Received valid ACK 27 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,362 - INFO - Received valid ACK 27 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,372 - INFO - Received valid ACK 27 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,381 - INFO - Received valid ACK 28 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,390 - INFO - Received valid ACK 28 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,398 - INFO - Received valid ACK 28 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,406 - INFO - Received valid ACK 28 from ('127.0.0.1', 52603)
